id_str,tweet_created_at,user_screen_name,user_id_str,user_statuses_count,user_favourites_count,user_protected,user_listed_count,user_following,user_description,user_location,user_verified,user_followers_count,user_friends_count,user_created_at,tweet_language,text_,favorite_count,favorited,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id_str,retweet_count,retweeted,text
'793378044052406272',Tue Nov 01 09:04:00 +0000 2016,AmazonHelp,85741735,2225496,11366,FALSE,792,FALSE,We answer Amazon support questions 7 days a week. Support available in English / Deutsch / Español / Português / Français / Italiano / 日本語,,TRUE,149570,53,Wed Oct 28 04:17:54 +0000 2009,en,"@imkapsicum Hey, I'm sorry for the turn of events. It is certainly not intentional. I'll make sure that the concerned team gets to know(1/2)",0,FALSE,imkapsicum,7.93E+17,59156981,0,FALSE,
'793378188416131072',Tue Nov 01 09:04:35 +0000 2016,AmazonHelp,85741735,2225496,11366,FALSE,792,FALSE,We answer Amazon support questions 7 days a week. Support available in English / Deutsch / Español / Português / Français / Italiano / 日本語,,TRUE,149570,53,Wed Oct 28 04:17:54 +0000 2009,en,@imkapsicum about your experience so we can improve our services and that such instances do not repeat in future. ^CA(2/2),0,FALSE,imkapsicum,7.93E+17,59156981,0,FALSE,
'793816720708243457',Wed Nov 02 14:07:09 +0000 2016,imkapsicum,59156981,257,89,FALSE,0,FALSE,"Web-developer, upcoming Photographer, imaginative, Fun luving & witty","Mumbai, India",FALSE,94,58,Wed Jul 22 15:36:47 +0000 2009,en,"@AmazonHelp I am hoping &amp; awaiting for some resolution on my problem, as haven't yet recvd. any communication on the same",0,FALSE,AmazonHelp,7.93E+17,85741735,0,FALSE,
'793826751499603968',Wed Nov 02 14:47:00 +0000 2016,AmazonHelp,85741735,2225496,11366,FALSE,792,FALSE,We answer Amazon support questions 7 days a week. Support available in English / Deutsch / Español / Português / Français / Italiano / 日本語,,TRUE,149570,53,Wed Oct 28 04:17:54 +0000 2009,en,"@imkapsicum Hey, sorry for the wait. If the product is already returning to seller, we wouldn't be able to reinstate it. (1/2) ^AB",0,FALSE,imkapsicum,7.94E+17,59156981,0,FALSE,
'793826886296145920',Wed Nov 02 14:47:32 +0000 2016,AmazonHelp,85741735,2225496,11366,FALSE,792,FALSE,We answer Amazon support questions 7 days a week. Support available in English / Deutsch / Español / Português / Français / Italiano / 日本語,,TRUE,149570,53,Wed Oct 28 04:17:54 +0000 2009,en,@imkapsicum Request you to place a new order for the same and we'll work on it to ensure a smooth experience. (2/2) ^AB,0,FALSE,imkapsicum,7.94E+17,59156981,0,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,
'793379112685568000',Tue Nov 01 09:08:15 +0000 2016,mybharatraj,902137872,1248,293,FALSE,2,FALSE,Mera BHARAT,India,FALSE,50,13,Wed Oct 24 16:24:51 +0000 2012,en,@amazonIN it is ridiculous that knowingly send same order again and again nd then cancel the order after that 4 same product,0,FALSE,amazonIN,,1282946089,0,FALSE,
'793382930085253121',Tue Nov 01 09:23:25 +0000 2016,AmazonHelp,85741735,2225534,11367,FALSE,795,FALSE,We answer Amazon support questions 7 days a week. Support available in English / Deutsch / Español / Português / Français / Italiano / 日本語,,TRUE,149573,53,Wed Oct 28 04:17:54 +0000 2009,en,"@mybharatraj Hi! Sorry about that. I'd like our team to look into this, please reach out to us via: https://t.co/vlvfJr4nN9 ^SG",0,FALSE,mybharatraj,7.93E+17,902137872,0,FALSE,"@mybharatraj Hi! Sorry about that. I'd like our team to look into this, please reach out to us via: https://t.co/vlvfJr4nN9 ^SG"
'793390636619759616',Tue Nov 01 09:54:02 +0000 2016,mybharatraj,902137872,1248,293,FALSE,2,FALSE,Mera BHARAT,India,FALSE,50,13,Wed Oct 24 16:24:51 +0000 2012,en,@AmazonHelp no use of them i tried that option but ur agent Arul close the chat rudely and without any resolution is now still asking same,0,FALSE,AmazonHelp,7.93E+17,85741735,0,FALSE,
'793393912769576960',Tue Nov 01 10:07:04 +0000 2016,mybharatraj,902137872,1248,293,FALSE,2,FALSE,Mera BHARAT,India,FALSE,50,13,Wed Oct 24 16:24:51 +0000 2012,en,@AmazonHelp now again getting the same rwplybfrom ur another agent Aasish just rudely close the chat without resolution like Arul,0,FALSE,mybharatraj,7.93E+17,902137872,0,FALSE,
'793408494649081856',Tue Nov 01 11:05:00 +0000 2016,AmazonHelp,85741735,2225534,11367,FALSE,795,FALSE,We answer Amazon support questions 7 days a week. Support available in English / Deutsch / Español / Português / Français / Italiano / 日本語,,TRUE,149573,53,Wed Oct 28 04:17:54 +0000 2009,en,"@mybharatraj Hi, I'm sorry but could you please elaborate your concern? So that we could look into this for you. ^AM",0,FALSE,mybharatraj,7.93E+17,902137872,0,FALSE,
'793411871965601792',Tue Nov 01 11:18:25 +0000 2016,mybharatraj,902137872,1248,293,FALSE,2,FALSE,Mera BHARAT,India,FALSE,50,13,Wed Oct 24 16:24:51 +0000 2012,en,@AmazonHelp ordered 4 products 3 were received but with remaining  item one item was repeat again,0,FALSE,AmazonHelp,7.93E+17,85741735,0,FALSE,
